company;country;total_sales
Lockheed Martin Corp.;United States;65398
Raytheon Technologies;United States;56587
Boeing;United States;58158
Northrop Grumman Corp.;United States;36799
General Dynamics Corp.;United States;37925
BAE Systems;United Kingdom;24714
NORINCO;China;70997
AVIC;China;67923
CETC;China;34302
L3Harris Technologies;United States;18194
Airbus;Trans-European;56893
BAE Systems Inc. (BAE Systems  UK);United States;11900
CASIC;China;37686
Leonardo;Italy;15286
Thales;France;19365
Huntington Ingalls Industries;United States;9361
Leidos;United States;12297
Almaz-Antey;Russia;6571
Honeywell International;United States;32637
Booz Allen Hamilton;United States;7859
CSGC;China;33859
United Aircraft Corp.;Russia;5973
Rolls-Royce;United Kingdom;15159
EDGE;United Arab Emirates;5000
General Electric;United States;76619
Safran;France;18805
Mitsubishi Heavy Industries;Japan;34657
Rheinmetall;Germany;6697
Elbit Systems;Israel;4663
CACI International;United States;6044
MBDA;Trans-European;4094
Naval Group;France;3788
Dassault Aviation Group;France;6257
United Shipbuilding Corp.;Russia;4682
Textron;United States;11651
Israel Aerospace Industries;Israel;4184
Airbus Helicopters Inc (Airbus Group  WEU);United States;6251
Sandia Corp. (Lockheed Martin  USA);United States;3919
Saab;Sweden;3848
Science Applications International Corp.;United States;7056
Tactical Missiles Corp.;Russia;3319
Babcock International Group;United Kingdom;5678
Perspecta;United States;4512
Amentum;United States;3700
Hindustan Aeronautics;India;3124
KBR;United States;5767
United Engine Corp.;Russia;3883
Rafael;Israel;2748
Fincantieri;Italy;6701
CEA;France;5756
Oshkosh Corp.;United States;6857
Hanwha Aerospace;South Korea;4510
Bell Helicopter Textron (Textron  USA);United States;3309
ASELSAN;Turkey;2293
TransDigm Group;United States;5103
Kawasaki Heavy Industries;Japan;13943
Bechtel Corp.;United States;17600
ThyssenKrupp;Germany;40400
Jacobs Engineering Group;United States;13567
ManTech International Corp.;United States;2518
KRET;Russia;2177
Sierra Nevada Corp.;United States;2383
Indian Ordnance Factories;India;1935
ST Engineering;Singapore;5221
Serco Group;United Kingdom;5449
Korea Aerospace Industries;South Korea;2384
Fluor Corp.;United States;15669
BWX Technologies;United States;2124
Bharat Electronics;India;1918
PGZ;Poland;1655
Melrose Industries;United Kingdom;11244
Krauss-Maffei Wegmann;Germany;1482
Russian Electronics;Russia;1489
Parsons Corp.;United States;3919
LIG Nex1;South Korea;1360
Vectrus;United States;1396
Aerojet Rocketdyne;United States;2073
Fujitsu;Japan;33625
UkrOboronProm;Ukraine;1387
Hensoldt;Germany;1376
Curtiss-Wright Corp.;United States;2391
QinetiQ;United Kingdom;1638
Hanwha Defense (Hanwha Aerospace  South Korea);South Korea;1218
Russian Helicopters;Russia;2023
Moog;United States;2885
Nexter;France;1254
Navantia;Spain;1241
Hanwha Corp.;South Korea;3398
UralVagonZavod;Russia;1921
Pacific Architects and Engineers;United States;2715
Ball Corp.;United States;11781
Teledyne Technologies;United States;3086
IHI Corp.;Japan;10425
Amphenol Corp.;United States;8559
United Launch Alliance;United States;2000
Howmet Aerospace;United States;5259
Devonport Royal Dockyard (Babcock International Group  UK);United Kingdom;1014
The Aerospace Corp.;United States;1150
Meggitt;United Kingdom;2159
Hanwha Systems (Hanwha Aerospace  South Korea);South Korea;1393
ViaSat;United States;2256
Mitsubishi Electric Corp.;Japan;39261
CAE;Canada;2224
Mercury Systems;United States;924
Kongsberg Gruppen;Norway;2719
